looneke01,81,220,1996-02-06,2016-01-27,30,5,1131960
gordoaa01,81,220,1995-09-16,2014-10-28,4,125,4171680
jacksre01,75,208,1990-04-16,2011-12-31,24,351,14000000
hardati02,78,205,1992-03-16,2013-10-30,24,202,1304520
nurkiju01,84,280,1994-08-23,2014-10-29,16,94,1842000
kiddgmi01,79,232,1993-09-26,2012-11-02,2,202,6331404
valanjo01,84,265,1992-05-06,2012-10-31,5,283,4660482
leonaka01,79,230,1991-06-29,2011-12-26,15,324,16500000
lawsoty01,71,195,1987-11-03,2009-10-28,18,482,265058
harklma01,81,215,1993-05-11,2012-11-07,15,279,2894059
holmeri01,82,245,1993-10-15,2015-10-28,37,51,1050000
mickejo01,80,235,1994-07-09,2015-10-28,33,16,1200000
dawsobr01,78,225,1993-02-01,2015-12-28,56,6,525093
anderal01,78,220,1982-10-16,2005-11-12,61,300,4000000
robinna01,69,180,1984-05-31,2005-11-02,21,618,44000
cartevi01,78,220,1977-01-26,1999-02-05,5,1274,4088091
inglejo01,80,226,1987-10-02,2014-10-29,61,160,2250000
bledser01,73,190,1989-12-09,2010-10-27,18,352,13086957
fryech01,83,255,1983-05-17,2005-11-04,8,727,7807579
acyqu01,79,240,1990-10-06,2012-11-07,37,219,981348
stephal01,82,270,1987-08-07,2016-02-20,61,8,30888
allenla01,81,260,1989-02-04,2012-01-07,50,327,3700000
millemi01,80,218,1980-02-19,2000-10-31,5,1012,1499187
crawfja01,77,200,1980-03-20,2000-10-31,8,1100,5675000
vujacsa01,79,195,1984-03-08,2004-11-03,27,539,1356146
nealga01,76,210,1984-10-03,2010-10-27,61,350,2100000
serapke01,81,285,1989-12-07,2010-11-16,17,374,2800000
willima02,81,237,1986-06-19,2005-11-02,2,785,7000000
ellismo01,75,185,1985-10-26,2005-11-12,40,759,10300000
bargnan01,84,245,1985-10-26,2006-11-01,1,550,1362900
dedmode01,84,245,1989-08-12,2013-11-18,61,148,947278
eddieja01,79,218,1991-10-30,2015-12-26,61,26,561716
gallola01,74,200,1991-12-09,2015-01-07,61,127,845059
smithja02,84,245,1986-03-02,2007-10-31,20,489,4300000
olynyke01,84,238,1991-04-19,2013-10-30,13,203,2165160
afflaar01,77,210,1985-10-15,2007-11-01,27,648,8000000
beaslmi01,81,235,1989-01-09,2008-10-29,2,453,306527
hoodro01,80,206,1992-10-20,2014-10-29,23,129,1348440
harriga01,76,210,1994-09-14,2014-11-14,19,131,1587480
wilcocj01,77,195,1990-12-30,2014-12-03,28,44,1159680
gasolpa01,84,250,1980-07-06,2001-11-01,3,1055,7448760
clarkjo01,77,194,1992-06-07,2014-10-28,46,138,845059
millspa02,72,185,1988-08-11,2010-01-04,55,361,3578947
roziete01,74,190,1994-03-17,2015-10-28,16,39,1824360
breweco01,81,186,1986-03-05,2007-11-02,7,629,8200000
alexacl01,80,245,1995-11-16,2015-11-15,61,8,525093
arthuda01,81,235,1988-03-25,2008-10-29,27,443,2814000
terryja01,74,185,1977-09-15,1999-11-02,10,1285,1499187
sampsja02,81,214,1993-03-20,2014-10-29,61,147,285489
turneev01,79,220,1988-10-27,2010-10-27,2,469,3425510
josepco01,75,193,1991-08-20,2011-12-26,29,284,7000000
thompja02,83,250,1986-07-21,2008-10-29,12,588,328955
noelne01,83,228,1994-04-10,2014-10-29,6,142,3457800
johnswe01,79,215,1987-07-11,2010-10-27,4,429,1100600
jokicni01,82,250,1995-02-19,2015-10-28,41,80,1300000
plumlmi01,83,249,1988-09-01,2012-11-05,26,228,2109294
holidju01,78,185,1989-04-05,2013-04-03,61,121,947300
mcraejo01,78,185,1991-03-28,2016-01-29,58,22,61776
beverpa01,73,185,1988-07-12,2013-01-15,42,224,6500000
randoza01,81,260,1981-07-16,2001-10-30,19,984,9638555
prigipa01,75,185,1977-05-17,2012-11-02,61,270,981348
smithru01,72,165,1991-04-19,2014-11-04,47,27,816482
smartma01,76,220,1994-03-06,2014-10-29,6,128,3431040
willial03,80,260,1993-01-28,2016-03-17,61,10,114285
pattepa01,81,230,1989-03-14,2010-12-15,14,412,6268675
fredeji01,74,195,1989-02-25,2011-12-26,10,235,54812
moreler01,82,238,1991-12-24,2014-11-26,61,11,845059
hilarne01,83,250,1982-09-13,2002-10-30,7,804,13000000
grantje02,76,195,1992-10-09,2015-10-28,19,76,1572360
johnsor01,77,220,1989-03-11,2012-11-05,36,103,55722
marjabo01,87,290,1988-08-15,2015-10-30,61,54,1200000
duranke01,81,240,1988-09-29,2007-10-31,2,641,20158622
capelca01,82,240,1994-05-18,2014-11-06,25,89,1242720
willima01,73,198,1982-12-19,2003-11-01,47,818,2100000
thornma01,76,205,1987-06-05,2009-11-06,43,450,251107
huertma01,75,200,1983-05-25,2015-10-28,61,53,525093
nancela02,81,230,1993-01-01,2015-11-06,27,63,1155600
parkeja01,80,250,1995-03-15,2014-10-29,2,101,5152440
bartowi01,78,175,1991-01-06,2012-11-02,40,254,3333333
varejan01,82,273,1982-09-28,2004-11-04,30,613,458575
anderch01,82,245,1978-07-07,2001-11-23,61,683,5000000
muhamsh01,78,223,1992-11-13,2013-11-01,14,157,2056920
hunterj01,77,185,1993-10-24,2015-11-04,28,36,1148640
parsoch01,82,230,1988-10-25,2011-12-29,38,340,15361500
netora01,73,179,1992-05-19,2015-10-28,47,81,1000000
bassbr01,80,250,1985-04-30,2005-11-01,33,706,3000000
jonespe01,83,235,1991-09-24,2012-11-02,28,143,2038206
martija01,82,239,1994-05-24,2015-12-18,25,27,1230840
hezonma01,80,215,1995-02-25,2015-10-28,5,79,3741480
hensojo01,83,229,1990-12-28,2012-11-07,14,257,2943221
williel01,77,190,1989-06-20,2011-12-27,22,109,55722
hillso01,79,225,1991-03-18,2013-10-29,23,169,1358880
singlky01,80,228,1988-05-04,2012-10-31,33,312,5000000
stausni01,78,205,1993-10-07,2014-10-29,8,146,2869440
mbahalu01,80,230,1986-09-09,2008-10-28,37,541,1270964
chalmma01,74,190,1986-05-19,2008-10-29,34,580,4300000
hilljo01,82,235,1987-07-27,2009-10-28,8,402,4000000
hayesch01,78,240,1983-06-11,2006-01-18,61,644,83583
